	D5G	wG	D4G	D1G	DG	D4GD5G	X	Y
1	0.746195545	43.5471	0.264633356	1.395560893	2.528921284	1.010828901	-28.8799	-35.700703
2	0.809458517	44.5344	0.244271355	1.181085063	2.350208948	1.053729872	-28.8799	-34.700573
3	0.744825505	44.0294	0.223097325	1.321956783	2.413467543	0.967922829	-28.8799	-33.700439
4	0.780746593	44.0633	0.300136429	1.377222821	2.586524954	1.080883022	-28.8799	-32.700306
5	0.769397198	44.1724	0.287190459	1.373602245	2.554072233	1.056587657	-28.8799	-31.700174
6	0.809158601	43.4859	0.232053449	1.245301744	2.412089342	1.041212049	-28.8799	-30.700043
7	0.798273634	44.2161	0.251021753	1.140223517	2.306133669	1.049295387	-28.8799	-29.699911
8	0.813115794	43.9185	0.253986253	1.178144497	2.365872371	1.067102047	-28.8799	-28.69978
9	0.808176145	44.3632	0.259048812	1.175897722	2.361678743	1.067224956	-28.8799	-27.699648
10	0.792159062	43.5936	0.319974856	1.413152041	2.651817883	1.112133919	-28.8799	-26.699514
11	0.804857578	45.2448	0.334764363	1.344334683	2.60711702	1.139621941	-28.8799	-25.699383
12	0.859726968	46.0838	0.344267816	1.360590304	2.691861536	1.203994784	-28.8799	-24.699251
13	0.900340571	44.7864	0.428548593	1.395965995	2.848968174	1.328889164	-28.8799	-23.69912
14	0.858242559	44.435	0.383730209	1.39889487	2.764273274	1.241972768	-28.8799	-22.698988
15	0.752527787	44.4726	0.234751955	1.406424725	2.521519199	0.987279742	-28.8799	-21.698854
16	0.725962284	42.8701	0.195405511	1.370950451	2.421508033	0.921367795	-28.8799	-20.698723
17	0.728418428	43.1846	0.190206475	1.355491959	2.405680174	0.918624903	-28.8799	-19.698591
18	0.779356437	45.2921	0.23924007	1.360539202	2.498123098	1.018596506	-28.8799	-18.69846
19	0.726038146	44.2028	0.210788895	1.320291658	2.376284668	0.936827041	-28.8799	-17.698328
20	0.759995453	43.7731	0.214967755	1.375075659	2.478997951	0.974963207	-28.8799	-16.698196
21	0.785030421	43.9959	0.242140684	1.120924693	2.265809322	1.027171105	-28.8799	-15.698064
22	0.75278385	42.2885	0.207413374	1.422650933	2.521335822	0.960197224	-28.8799	-14.697931
23	0.721424209	42.6657	0.196190738	1.422487207	2.479686259	0.917614947	-28.8799	-13.6978
24	0.706871868	42.7513	0.208882924	1.438006045	2.485274398	0.915754792	-28.8799	-12.697667
25	0.722158815	42.5492	0.204991868	1.414318629	2.474815248	0.927150683	-28.8799	-11.697536
26	0.714617152	42.5796	0.190268872	1.435200713	2.477552713	0.904886024	-28.8799	-10.697404
